iter	Passed	Remaining
0	133	1334754
1	244	1220247
2	330	1102629
3	476	1190614
4	606	1213096
5	727	1211121
6	857	1224563
7	966	1207375
8	1081	1200277
9	1178	1177401
10	1277	1159976
11	1423	1184629
12	1538	1181585
13	1662	1185707
14	1798	1197370
15	1979	1235109
16	2112	1240259
17	2236	1240335
18	2435	1279668
19	2567	1281361
20	2703	1284801
21	2854	1294593
22	3059	1327134
23	3196	1328820
24	3343	1334115
25	3514	1348244
26	3651	1348614
27	3838	1367200
28	4048	1391875
29	4189	1392252
30	4364	1403463
31	4518	1407587
32	4660	1407665
33	4794	1405477
34	4896	1394197
35	5038	1394583
36	5203	1401043
37	5353	1403366
38	5491	1402556
39	5632	1402607
40	5786	1405645
41	5957	1412510
42	6135	1420742
43	6299	1425341
44	6450	1427090
45	6583	1424702
46	6773	1434469
47	6956	1442363
48	7062	1434347
49	7207	1434228
50	7370	1437814
51	7522	1439185
52	7663	1438349
53	7816	1439728
54	7956	1438721
55	8114	1440938
56	8249	1438946
57	8412	1441941
58	8555	1441598
59	8694	1440346
60	8811	1435698
61	9004	1443288
62	9154	1443891
63	9339	1449960
64	9489	1450484
65	9683	1457486
66	9820	1455901
67	9985	1458518
68	10148	1460677
69	10278	1458134
70	10421	1457456
71	10585	1459620
72	10716	1457237
73	10863	1457114
74	11044	1461573
75	11225	1465854
76	11349	1462576
77	11517	1465073
78	11700	1469380
79	11824	1466263
80	11994	1468811
81	12139	1468254
82	12276	1466797
83	12425	1466764
84	12612	1471195
85	12764	1471449
86	12907	1470734
87	13049	1469837
88	13192	1469098
89	13324	1467227
90	13491	1469125
91	13676	1472945
92	13821	1472310
93	13953	1470459
94	14064	1466390
95	14228	1467946
96	14394	1469586
97	14545	1469684
98	14696	1469776
99	14862	1471376
100	14994	1469635
101	15121	1467367
102	15293	1469486
103	15427	1468000
104	15595	1469660
105	15717	1467071
106	15870	1467344
107	15987	1464299
108	16109	1461815
109	16271	1462953
110	16443	1464982
111	16587	1464472
112	16743	1464957
113	16875	1463415
114	17016	1462654
115	17146	1461034
116	17280	1459694
117	17439	1460448
118	17590	1460625
119	17743	1460896
120	17890	1460689
121	18098	1465372
122	18230	1463942
123	18448	1469317
124	18618	1470857
125	18777	1471470
126	18932	1471821
127	19076	1471283
128	19233	1471723
129	19385	1471799
130	19507	1469586
131	19681	1471309
132	19894	1475909
133	20074	1478039
134	20190	1475373
135	20376	1477919
136	20509	1476538
137	20649	1475707
138	20847	1478975
139	21019	1480355
140	21147	1478648
141	21298	1478578
142	21466	1479701
143	21674	1483505
144	21846	1484838
145	22015	1485883
146	22148	1484543
147	22301	1484580
148	22517	1488730
149	22672	1488826
150	22824	1488711
151	22998	1490072
152	23129	1488616
153	23325	1491316
154	23433	1488419
155	23551	1486157
156	23699	1485833
157	23831	1484517
158	23955	1482690
159	24133	1484213
160	24270	1483220
161	24401	1481845
162	24573	1483004
163	24750	1484411
164	24897	1484035
165	25057	1484454
166	25205	1484116
167	25398	1486403
168	25534	1485355
169	25730	1487817
170	25886	1487951
171	26048	1488419
172	26223	1489589
173	26401	1490932
174	26533	1489666
175	26677	1489091
176	26833	1489208
177	26967	1488035
178	27109	1487407
179	27269	1487700
180	27413	1487137
181	27538	1485564
182	27714	1486724
183	27854	1485971
184	28015	1486329
185	28207	1488325
186	28351	1487750
187	28528	1488967
188	28713	1490505
189	28852	1489713
190	29008	1489745
191	29188	1491065
192	29309	1489294
193	29476	1489943
194	29638	1490289
195	29772	1489256
196	29953	1490519
197	30122	1491218
198	30265	1490638
199	30393	1489269
200	30579	1490773
201	30748	1491439
202	30893	1490972
203	31040	1490565
204	31196	1490589
205	31332	1489652
206	31457	1488237
207	31663	1490598
208	31783	1488969
209	31967	1490299
210	32156	1491859
211	32278	1490298
212	32417	1489537
213	32557	1488821
214	32676	1487146
215	32822	1486721
216	32972	1486496
217	33091	1484848
218	33277	1486228
219	33444	1486748
220	33595	1486546
221	33712	1484883
222	33854	1484288
223	34006	1484139
224	34150	1483644
225	34336	1484975
226	34491	1484952
227	34616	1483641
228	34730	1481891
229	34900	1482504
230	35055	1482516
231	35197	1481919
232	35339	1481364
233	35456	1479758
234	35625	1480333
235	35846	1483084
236	36027	1484125
237	36196	1484681
238	36378	1485723
239	36495	1484170
240	36655	1484310
241	36800	1483900
242	36970	1484457
243	37129	1484576
244	37292	1484853
245	37464	1485493
246	37625	1485690
247	37799	1486382
248	37920	1485001
249	38106	1486164
250	38243	1485396
251	38422	1486282
252	38607	1487394
253	38736	1486330
254	38883	1485958
255	39034	1485754
256	39181	1485388
257	39345	1485689
258	39523	1486477
259	39663	1485870
260	39784	1484527
261	39943	1484616
262	40124	1485531
263	40234	1483794
264	40409	1484482
265	40573	1484730
266	40716	1484240
267	40912	1485664
268	41085	1486260
269	41205	1484930
270	41334	1483930
271	41533	1485447
272	41667	1484597
273	41794	1483569
274	41945	1483348
275	42082	1482649
276	42215	1481816
277	42348	1480993
278	42443	1478839
279	42554	1477246
280	42704	1477017
281	42857	1476927
282	42984	1475914
283	43141	1475925
284	43264	1474780
285	43426	1474968
286	43569	1474522
287	43733	1474794
288	43872	1474194
289	44061	1475304
290	44190	1474389
291	44320	1473513
292	44477	1473513
293	44610	1472749
294	44756	1472426
295	44913	1472427
296	45054	1471916
297	45184	1471081
298	45348	1471328
299	45482	1470588
300	45675	1471793
301	45815	1471265
302	45995	1472009
303	46165	1472437
304	46298	1471699
305	46486	1472670
306	46617	1471853
307	46766	1471629
308	46922	1471611
309	47069	1471311
310	47227	1471348
311	47375	1471072
312	47525	1470851
313	47685	1470949
314	47827	1470496
315	48003	1471097
316	48151	1470823
317	48278	1469913
318	48440	1470057
319	48650	1471686
320	48838	1472602
321	49085	1475304
322	49239	1475213
323	49465	1477256
324	49670	1478640
325	49864	1479723
326	49981	1478503
327	50135	1478381
328	50302	1478663
329	50416	1477360
330	50552	1476726
331	50727	1477203
332	50877	1476988
333	51027	1476729
334	51204	1477296
335	51349	1476912
336	51466	1475741
337	51601	1475067
338	51730	1474246
339	51872	1473787
340	52007	1473134
341	52160	1473001
342	52335	1473485
343	52474	1472941
344	52624	1472711
345	52756	1472007
346	52940	1472717
347	53115	1473199
348	53254	1472670
349	53431	1473182
350	53570	1472644
351	53704	1471987
352	53890	1472752
353	54024	1472091
354	54177	1471960
355	54320	1471547
356	54446	1470654
357	54579	1469974
358	54701	1469024
359	54819	1467938
360	54916	1466324
361	55006	1464506
362	55097	1462746
363	55194	1461143
364	55286	1459416
365	55378	1457697
366	55471	1456001
367	55570	1454484
368	55662	1452811
369	55763	1451350
370	55924	1451482
371	56099	1451943
372	56215	1450896
373	56364	1450718
374	56587	1452424
375	56735	1452180
376	56878	1451830
377	57017	1451371
378	57199	1452024
379	57379	1452616
380	57518	1452164
381	57673	1452105
382	57812	1451661
383	57962	1451482
384	58125	1451620
385	58241	1450616
386	58379	1450128
387	58530	1449998
388	58681	1449841
389	58840	1449895
390	59019	1450429
391	59148	1449735
392	59320	1450109
